,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,win,loss,tie
0,0.0,0.0,12.0,1.0,1.0,23.0,3.0,3.0,33.0,24.0,729,193,15
2,0.0,0.0,0.0,10.0,13.0,15.0,18.0,20.0,24.0,0.0,370,558,9
4,0.0,12.0,0.0,0.0,20.0,21.0,23.0,24.0,0.0,0.0,547,378,12
5,1.0,2.0,2.0,4.0,8.0,12.0,14.0,16.0,19.0,22.0,209,713,15
6,0.0,0.0,0.0,5.0,15.0,20.0,20.0,18.0,22.0,0.0,369,546,22
7,1.0,3.0,4.0,7.0,9.0,14.0,17.0,18.0,17.0,10.0,216,709,12
8,0.0,0.0,0.0,0.0,19.0,0.0,0.0,21.0,18.0,42.0,352,539,46
9,0.0,5.0,0.0,0.0,0.0,0.0,0.0,30.0,32.0,33.0,662,261,14
10,0.0,0.0,5.0,6.0,9.0,11.0,15.0,16.0,18.0,20.0,189,741,7
11,1.0,2.0,2.0,1.0,13.0,17.0,22.0,4.0,22.0,16.0,442,467,28
12,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,491,437,9
13,0.0,1.0,1.0,1.0,1.0,25.0,5.0,5.0,35.0,26.0,564,343,30
14,0.0,10.0,0.0,0.0,0.0,0.0,0.0,28.0,30.0,32.0,649,279,9
15,8.0,10.0,12.0,14.0,16.0,19.0,21.0,0.0,0.0,0.0,508,423,6
16,0.0,0.0,0.0,0.0,15.0,17.0,17.0,17.0,17.0,17.0,257,675,5
18,6.0,6.0,10.0,13.0,14.0,0.0,25.0,0.0,0.0,26.0,490,424,23
19,1.0,1.0,1.0,5.0,1.0,1.0,20.0,20.0,25.0,25.0,488,445,4
20,0.0,8.0,0.0,0.0,15.0,19.0,27.0,31.0,0.0,0.0,583,335,19
21,0.0,0.0,0.0,11.0,13.0,13.0,14.0,23.0,26.0,0.0,359,562,16
22,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,0.0,541,392,4
23,3.0,4.0,0.0,10.0,11.0,0.0,34.0,0.0,38.0,0.0,454,445,38
24,0.0,0.0,13.0,1.0,1.0,24.0,1.0,1.0,34.0,25.0,736,195,6
25,9.0,9.0,10.0,11.0,12.0,13.0,15.0,8.0,8.0,5.0,384,546,7
26,0.0,0.0,0.0,0.0,0.0,22.0,26.0,26.0,26.0,0.0,565,367,5
27,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,26.0,58.0,389,540,8
28,4.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,33.0,35.0,654,242,41
29,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,35.0,35.0,728,201,8
30,1.0,1.0,1.0,1.0,1.0,5.0,9.0,16.0,26.0,39.0,427,479,31
31,3.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,31.0,34.0,619,263,55
32,2.0,3.0,0.0,7.0,10.0,13.0,14.0,17.0,18.0,16.0,180,747,10
33,1.0,1.0,2.0,2.0,22.0,23.0,25.0,2.0,2.0,20.0,575,353,9
34,1.0,3.0,4.0,6.0,11.0,10.0,13.0,18.0,19.0,15.0,186,738,13
35,1.0,1.0,1.0,13.0,3.0,3.0,3.0,25.0,25.0,25.0,613,313,11
36,3.0,0.0,0.0,0.0,11.0,14.0,17.0,20.0,18.0,17.0,237,693,7
